ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,age,RtoHd=0,RtoHd=5,RtoHd=10,RtoHd=20,RtoHd=Max,HtoRd=0,HtoRd=5,HtoRd=10,HtoRd=20,HtoRd=Max
100404,7,7,7,7,7,7,7,7,7,56,0.0020531019775991144,0.0017599349351258287,0.0018535334432037143,0.0018132640465010619,0.0020531019775991144,0.000840029268022402,0.0007224729300272514,0.0009029217592451122,0.0008516585675316657,0.0009029217592451122
102104,7,7,5,5,5,7,7,7,7,35,3.774758283725532e-15,-8.383310762505314e-05,-2.425300736919045e-05,3.3306690738754696e-15,3.774758283725532e-15,0.0012619317703889132,0.0013322926778605026,0.0011419293989373136,0.0009955949883337922,0.0013322926778605026
104304,7,6,6,7,6,4,5,4,7,40,,,,,,,,,,
110401,6,6,4,4,4,5,5,4,6,50,0.003420678867364524,0.0017843125859079434,0.00281320494405235,0.002738899769569758,0.003420678867364524,-2.892346198857254e-05,9.576599258620533e-05,-2.9863712870059622e-05,4.9385979722260664e-05,9.576599258620533e-05
111932,6,3,5,5,4,3,5,3,4,55,0.00028152298795813824,0.00021533757072511595,0.0003714832609462704,0.00022154795731854637,0.0003714832609462704,0.0013242430775630698,0.0016863029459679435,0.0013073006399055842,0.0012388348116855186,0.0016863029459679435
114156,5,5,6,4,6,7,7,4,7,29,1.3935667482090075e-05,0.000837849436736593,-0.00010525243053505218,-7.204089072954112e-05,0.000837849436736593,0.0007381323659423344,0.0009392583757881212,0.00064047401287326,0.0007498685831085483,0.0009392583757881212
125944,6,5,3,5,6,3,6,2,7,22,0.0022272706991784963,0.001843464395386074,0.0020431759302531605,0.001934987763840712,0.0022272706991784963,0.0007479925661791897,0.0007753159414229938,0.0008528919330395013,0.0006308470926512655,0.0008528919330395013
130017,1,1,1,1,1,1,1,4,7,40,0.0020021614250183006,0.001440601823028631,0.0015773192529172642,0.001572860066356374,0.0020021614250183006,0.00043414702037913866,0.0010108410777573962,0.0005803944969673402,0.0007130960157605282,0.0010108410777573962
131258,5,3,4,3,2,2,4,3,4,60,8.992249500849869e-05,0.0001694352983523384,0.00011607764840870782,9.378959193395708e-05,0.0001694352983523384,0.0015317054005167252,0.0017665788568530516,0.0016255023037712313,0.001588073810201207,0.0017665788568530516
131319,5,5,2,2,5,5,3,5,5,27,1.1833985238296485e-05,5.1499283147737884e-05,0.00027913549652158753,0.0002777621393612595,0.00027913549652158753,0.001809893438883936,0.0030617725707282606,0.0017158362778175729,0.0017531461012892935,0.0030617725707282606
131828,2,4,3,3,4,4,4,4,6,53,0.00149529923354641,0.0018011058085825038,0.001208673405162286,0.001446996881782181,0.0018011058085825038,7.575145443161624e-05,0.00012620127416396176,9.035166085025192e-05,0.00010516213346778436,0.00012620127416396176
132210,6,5,4,5,4,4,5,3,4,58,0.0010630440442135347,0.0014672096392787104,0.001165598233502818,0.0010201909595796144,0.0014672096392787104,0.0006541922989325988,0.00041556073209403355,0.00046134054070900987,0.00041349756755215683,0.0006541922989325988
132531,6,6,6,6,6,7,7,6,7,60,0.0017977316629241846,0.0019420255053946844,0.0016344457145218705,0.001685288909730298,0.0019420255053946844,-2.393785042709151e-05,7.1745240105558494e-06,0.00012793214013084864,-5.918667025928137e-05,0.00012793214013084864
132755,6,6,6,6,7,6,6,6,7,46,0.0020233283196448015,0.0017843130990286005,0.0019644344939434566,0.0019618397856348,0.0020233283196448015,4.307179574447595e-05,0.00020206953174028985,6.03401766225975e-05,0.00013437788633074987,0.00020206953174028985
133947,7,7,7,7,7,7,7,6,7,22,0.0009380224406807525,0.0009347796706605793,0.0012113139465717015,0.0011609198544373367,0.0012113139465717015,5.614380726592927e-05,0.00030392180708105343,-0.0001294080622137317,9.143989303850297e-05,0.00030392180708105343
140304,5,5,5,5,5,5,5,5,5,65,0.0012289978448219996,0.0010648225788419952,0.0009091001884308225,0.0006460136173618292,0.0012289978448219996,0.00010485223900225105,5.543544546071644e-06,-1.4594279038826485e-05,6.850655705969988e-05,0.00010485223900225105
140757,6,5,5,5,5,6,5,4,6,41,0.0012425314136894627,0.0012149926699953628,0.00112843927236983,0.001668377766617879,0.001668377766617879,0.0012988948619163665,0.0011723029104830918,0.0009794977937134242,0.00119615914439819,0.0012988948619163665
140959,6,5,5,4,6,5,5,4,3,47,,,,,,,,,,
141359,7,7,7,7,7,7,7,7,7,11,0.001087249649570854,0.0005722684963258562,0.0009640193097059102,0.0009196662984629622,0.001087249649570854,0.0014434819749283845,0.0016295215666092266,0.0014679967723653098,0.0013162256204297673,0.0016295215666092266
142150,6,6,6,5,6,6,7,6,7,51,0.0007982390174744447,0.001383598828857746,0.0008640535791271109,0.0010856986511132982,0.001383598828857746,0.00018480794421693592,0.0007369269686818836,0.00015023194553709374,0.00015859507112181426,0.0007369269686818836
142337,7,7,7,7,5,6,5,7,7,79,0.0006924445796859802,0.001314086974137929,0.0005910676879067323,0.0004055976276743367,0.001314086974137929,0.0005528001653265502,0.00032653624947276416,0.0004519950124718397,0.0004919240803843428,0.0005528001653265502
142941,5,3,4,3,3,4,5,4,5,45,0.0006582326462302168,0.0006235737176767397,0.00014186992079379124,-9.82156489737207e-06,0.0006582326462302168,0.0009234602946383008,-4.497079266652104e-05,0.001178252752016773,0.0014036108594627228,0.0014036108594627228
143127,6,3,4,4,5,5,5,3,4,83,0.0016249699844261833,0.0010890220395234351,0.001641702039696269,0.0016812458493956628,0.0016812458493956628,0.0008767999044069219,0.000743610861538957,0.000684242151122616,0.0008684807256265081,0.0008767999044069219
143640,4,5,5,5,5,5,5,5,6,23,0.001823195805438882,0.0011464780852160628,0.0008972445759055647,0.001058198983420633,0.001823195805438882,-0.00015660839626330247,0.00013697335905848984,-1.8330116853260137e-05,-7.245049030513151e-05,0.00013697335905848984
